date_data_recieved,departDate,arrivalDate,flightNumber,productId,depTime,arrivalTime,departAirportCode,arrivalAirportCode,journeyType,totalNumberOfStops,journeyDuration,arrivalAirportName,departAirportName,availableSeats,carrierCode,carrierName,totalPrice,adultPrice
2023-03-09,2023-06-13,2023-06-13,1101,eJyMkt+L4j4Uxf8Vub7ezCRtE2vekuKULy31S1WcRUT6I12607VDqwuDmL99iQrrvu3ruR/OPTk3FyhAQrZKcLHJca2RIUWK/29wmS226huqNMXT0H6Oh7HozIjbhUYuOCCUIHc7UFmOKo3Qo55PqCDMX9OZ9Kmk9FljVLKb5lYwyvCNIWKitzEi7PcIFcjdBcq+/2iP36OuGEeQ8MYA4Th+vFROWDYrM/xqKwMSEv2YNMVgdDG2Y9TX98E2fhqtTNcl5gskUJtoO7HvvnWI9Tij1lLLrH1/8D/683A0X3fcZaeC+ZO1dnknKstVGv1N/jFfa+soO7FWZbml4pX5r85icivDqjR6Fm9tWPtwG8r6+a3DuTPZ+WdpBheDMwrXPYJDPBkG9Zx7rCBiHoYkEIyTMDQ1mRc0EGXAK9EI+VkMp/bU9kdSN6YUFTdkVvMZCaqyIGFTeqRqZkaERvhBUwKCAXkBreJYxQv3G5YHreLDf1kEV4QGJOSL1SZdT/9l+/R+dJ/QuWTMHT1gLyHj02yVTFWWE9fi9XcAAAD//3YvrQg=,07:30,10:10,ANR,ALC,Direct,0,2u 40m,Alicante,Antwerpen,10,TB,TUI fly,179.99,179.99
2023-03-09,2023-06-14,2023-06-14,1101,eJyMkl+L4jAUxb+KXF9vZhJNYs1bUpwilrpUxVlEpH/SpTtdO7S6MIj57EtGYce3eT33x8m55+YCGShIVgucbVJcG2RIkeKPDS6T2Vb/RB3HeOrq9/7QZ43tcTszKKQAhBzUbgc6SVHHIY7oaEyoJIyvqVRjqih90KaKfWr+CUYZvjBEnJtthAj7PUIBaneBvG3f6uOvsMn6HhS8MEA49m9PhReW1cp2f+vCgoK5uU+qrLMm6+s+bMvbYBt9Ga1s0yzsByigbm7cwL2OnUfcSDDqHHXMudc7/7s9d0f7ccN9dioZH6yNzzvQSarj8JH8b742zlNu4JxOUkflM+PP3mLwWYbTcfgg+jacu7t1efl11+7c2OT8J7edjyEYhesewSNUBbycihHLiJwGAeGSCRIEtiTTjHKZc1HISqr3rDvVp7o9krKyuSyEJZNSTAgv8owEVT4iRTWxMrByzKscECyoCxgdRTqa+d+wPBgdHeZJCFeEChSks9UmXg+/8/rwdvQx8Tsyf3TOngImhslqMdRJSnyL138BAAD//4CsrQ8=,06:30,09:10,ANR,ALC,Direct,0,2u 40m,Alicante,Antwerpen,10,TB,TUI fly,119.99,119.99
2023-03-09,2023-06-15,2023-06-15,1103,eJyMkl+L4jAUxb+KXF9vZhLbxJq3pDhltdSlVpxFRPonXbrTtUOrC4OYz75kFHZ829dzf5x7cm4ukIOEZL3E+SbFTCNDihS/b3CVzLfqB6o4xlPfvA+HIW/NgNu5Ri44IBQgdztQSYoqDnFCJx6hgjCeMS49Kil90ALJPjW3glEPXxgiLvQ2QoT9HqEEubtA0XVvzfFn2ObDABJeGCAch7en0gmrem36P01pQMJC3yd13hudD80QdtVtsI2+jNambZfmAyRQu9B2ZF896xA74YxaSy2z9vXO/+rO/dF83HCXnQrGR5l2eUcqSVUcPpL/zDNtHWVH1qoktVQ8M/7sLEafZVgVhw+ia8Pau1tfVF/f2p9bk5x/F6Z3MTijcN0jOITJwK9mfMJyImZBQHzBOAkCU5FZTn1R+LwUtZDveX9qTk13JFVtClFyQ6YVnxK/LHIS1MWElPXUiMAIz68LQDAgL6BVFKlo7n7D6qBVdPiWhHBFqEFCOl9v4mz8P9vHt6N7hM4kY+7oPnsKGB8n6+VYJSlxLV7/BgAA//+ajK0g,15:30,18:10,ANR,ALC,Direct,0,2u 40m,Alicante,Antwerpen,10,TB,TUI fly,149.99,149.99
2023-03-09,2023-06-18,2023-06-18,1103,eJyMkl+L4jAUxb+KXF9vZhLbZGLe0qJlaalLrTiLiPRPunSna4dWFwYxn33JKOz4tq/n/Dj39DQXKEBBuo5xsckwD5AhRYrfN7hKF1v9A3WS4Glo38fDWHRmxO0iQC44IJSgdjvQaYY6CXFGZx6hgjCZM644V5Q+aFJ5n5o7waiHS4aI8XIbIcJ+j1CB2l2g7Pu39vgz7IpxBAVLBgjH8e2pcsKqWZvhT1sZUBAv705TDCYoxnYM+/pmbKMv1tp0XWw+QAG18dJO7KtnHWJnnFFrqWXWvt75X/15OJqPG+66U8HkJA9c34lOM52Ej+S/8DywjrITa3WaWSqemXx2EZPPMaxOwgfRrWHtPW0o66/fOpw7k55/l2ZwNTijcN0jOMRT0q/nfMYKIuZSEl8wTqQ0NZkX1BelzyvRCPVeDKf21PZHUjemFBU35KXmL8SvyoLIppyRqnkxQhrh+U0JCAbUBQIdRTpauNewOgQ6OnxLQ7giNKAgW6w3ST79n+vT20/3CJ0rxhSjymdPkvFpuo6nOs2IW/H6NwAA//8I5K1m,15:55,18:35,ANR,ALC,Direct,0,2u 40m,Alicante,Antwerpen,10,TB,TUI fly,199.99,199.99
2023-03-09,2023-06-18,2023-06-18,1103,eJyMklGL4jAUhf+KXF9vZm5S07F5S4uWpaUuVXEWEYk1Xbrj2qHVhUHMb18yCju+7es5H+eenuYCBhQU8wwnyxIXMXIkJPy+xFkxWekfqPMcT13z3m97c7A9riYxylACwg7Ueg26KFHnCQoSAaOQ8fGCSyWlInrQxir41PwJTgFOOSJm01WKCJsNQgVqfYFd2741x5/JwfQ9KJhyQDj2b0+VF2b13HZ/msqCgmx6d2rT2dj0TZ+0+5uxSr9Yc3s4ZPYDFJDLpm7gXgPnESckJ+fIcede7/yv9twd7ccN990p5OPBIvZ9B7oodZ48kv/CF7HzlBs4p4vSUfjMx88+YvA5htN58iD6NZy7p3W7/ddv7c4HW5x/72zna0hOcN0geEQoEZEMBVWsrmvBRrU1LKK9YaEkK0dmXL0Io95Nd2pOTXtkFXEKqj1nwoaCjSJZs+gl4sxEOyFE/SJEuAcEC+oCsU5TnU78a5htY51uvxUJXBFqUFBO5st8Mfyf68PbTw8YRYpzxUnJ4Gkkg2Exz4a6KJlf8fo3AAD//9XSrTs=,15:55,18:35,ANR,ALC,Direct,0,2u 40m,Alicante,Antwerpen,10,TB,TUI fly,199.99,199.99
2023-03-09,2023-06-20,2023-06-20,1101,eJyMkkGP2jAQhf8KGq7j3bGDQ+ObE0FUJQpVALEVQsgEp0qXklUClVYI//bKgFR66/XNpzfPb3wBAwqKeYaTZYmLGDkSEn5b4qyYrPR31HmOp6756Le9OdgeV5MYZSgBYQdqvQZdlKjzBAWJgFHIBC1orAJSRM8aJ8Vvml/BieOUI2I2XaWIsNkgVKDWF9i17Xtz/JEcTN+DgikHhGP//lJ5YVbPbfe7qSwoyKaPSW06G5u+6ZN2fx+s0qfR3B4Omf0EBeSyqRu4t8B5xAnJyTly3Lm3B/+zPXdH+3nHfXYKBQ0Wsc870EWp8+Rf8q/5InaecgPndFE6Cl8FvXqLwa0Mp/PkWby14dzDrdvtn9/anQ+2OP/a2c7HkJzgukHwSKBERDIUVLG6rgUb1dawiPaGhZKsHJkv1VgY9WG6U3Nq2iOriFNQ7TkTNhRsFMmaReOIMxPthBD1WIhwDwgW1AVinaY6nfjfMNvGOt1+LRK4ItSgoJzMl/li+D/bh/ejB4wixbk/ugxeRjIYFvNsqIuS+RavfwIAAP//Vv2s6Q==,07:30,10:10,ANR,ALC,Direct,0,2u 40m,Alicante,Antwerpen,10,TB,TUI fly,199.99,199.99
2023-03-09,2023-06-21,2023-06-21,1101,eJyMklGL4jAUhf+KXF9vZm5S09nmLS1axFKXqjiLiMSaLt3p2qHVhUHMb18yCju+7eu5HyfnnpsLGFCQL2Y4XhW4jJEjIeH3Fc7z8Vr/QJ1leOrq937Xm8b2uB7HKEMJCHtQmw3ovECdJShIBIxCJviSQhWQInrQIsU/Nf8EJ44TjojTyTpFhO0WoQS1ucC+bd/q48+kMX0PCiYcEI7921PphXm1sN2furSgYDq5TyrT2dj0dZ+0h9tgnX4ZLWzTzOwHKCA3nbiBew2cR5yQnJwjx517vfO/2nN3tB833GenUPDBMvZ5BzovdJY8kv/Ml7HzlBs4p/PCUfgs+LO3GHyW4XSWPIi+Defubt3+8HXX7tzY/Px7bzsfQ3KC6xbBI6RERDIUVLKqqgQbVdawiA6GhZKsHJlv5Ysw6t10p/pUt0dWEqegPHAmbCjYKJIVi14izky0F0JUL0KEB0CwoC4Q6zTV6dj/hvku1ulumidwRahAQTFerLLl8H9eH96OHjC/I/dHl8HTSAbDfDEb6rxgvsXr3wAAAP//YLCs7w==,06:30,09:10,ANR,ALC,Direct,0,2u 40m,Alicante,Antwerpen,10,TB,TUI fly,139.99,139.99
2023-03-09,2023-06-22,2023-06-22,1103,eJyMklFv2jAUhf8Kurxet9cOThu/ORGNBlGYAohOCCETnClrRqoEJlUI//bJBWnlba/nfjr3+FyfwYCCfD7F8bLARYwcCQm/L3GWj1f6B+osw2NXv/fb3jS2x9U4RhlKQNiBWq9B5wXqLEFBImAUMiEWXKqAFNGd9qz4p+ZXcArwhSPiRK9SRNhsEEpQ6zPs2vatPvxMGtP3oOCFA8Khf3sovTCr5rb7U5cWFEz0bVKZzsamr/uk3V8Hq/TLaG6bZmo/QAG5iXYD9xo4jzghOTlHjjv3euN/tafuYD+uuM9OoRCDRezzDnRe6Cy5J/+ZL2LnKTdwTueFo/BRiEdvMfgsw+ksuRN9G87d3Lrd/utbu1Nj89Pvne18DMkJLhsEj3AlIpKhoJJVVSXYqLKGRbQ3LJRk5cg8l0/CqHfTHetj3R5YSZyCcs+ZsKFgo0hWLHqKODPRTghRPQkR7gHBgjpDrNNUp2P/G2bbWKfbb3kCF4QKFBTj+TJbDP9n+/B69IBRpDj3R5fBw0gGw3w+Heq8YL7Fy98AAAD//1CNrOc=,15:30,18:10,ANR,ALC,Direct,0,2u 40m,Alicante,Antwerpen,10,TB,TUI fly,144.99,144.99
2023-03-09,2023-06-25,2023-06-25,1103,eJyMkl+L4jAUxb+KXF9vZvKn6Th5S4tTVktdquIsIpK06dIdV4dWFwYxn33JKOz4tpCnc3+ce3KSMxhQUMynOF6WuEiQIUWK35c4K8Yr/QN1nuOxa9/7bW92rsfVOEEZS0CwoNZr0EWJOk+RUy4IjQmXCyaVlIrSO22kxKcWVjAq8IUh4iRdZYiw2SBUoNZnsIfDW7v/me5M34OCFwYI+/7toQrCrJm77k9bOVAwSW+TxnQuMX3bp4f6OlhlX0Zzt9tN3QcooH6S+oF/FT4gnktGvaeeef96438dTt3efVzxkJ3GXA4WScg70EWp8/Se/Ge+SHyg/MB7XZSexo9cPgaLwWcZXufpnRja8P7m1tn66127084Vp9/WdSGGZBQuG4SAUNU03NZ2FBNRPQkSNcYRG40YqSMhIspZRKNn9W66Y3tsD3tSmYa7SkaExbYmUSOeiGGyIdzFonbWcP5kAcGBOkOis0xn4/AbZttEZ9tvRQoXhAYUlOP5Ml8M/2f78ProgtBnxVg4VD4IKYfFfDrURUlCi5e/AQAA//8drq2b,15:55,18:35,ANR,ALC,Direct,0,2u 40m,Alicante,Antwerpen,10,TB,TUI fly,154.99,154.99
2023-03-09,2023-06-27,2023-06-27,1101,eJyMkt+L4j4Uxf8Vub7ezNwk/TGTt7R0yldL/VIVZxGR/kiX7rg6tLowiPnbl6iw7ttCns79cO7JSc5QgoJ8PsVkWeAiQo6EhP8vcZYnK/0NdZbhse8+h+1Q7syAqyRCP/ABoQK1XoPOC9RZjIKEZBQwES4oVJIU0aPGSfGr5lZw4vjGEXGSrFJE2GwQalDrM1SHw0e3/x7vymEABW8cEPbDx1PthFk7N/2vrjagYJLcJ23Zm6gcuiE+NLfBKn0Yzc1uNzVfoIDsJLEj+y6tQ6zwOVlLllv7fud/HE793nzdcJedAhGOFpHLO9J5obP4b/KP+SKyjrIja3VeWAqeRfjsLEbXMqzO4kfx2oa1d7e+ah7v2p92Jj/9rEzvYvic4LJBcAhXbSuqpnoJmKxDyby2NKzyXjhrPCk9Etwj71V9lv2xO3aHPavLVpja9xgPqoZ5rQxZyf2WCRPIxlSlEGEFCAbUGSKdpjpN3G+YbSOdbv/LY7ggtKCgSObLbDH+l+3j26NLRq+Kc3fIf5K+P87n07HOC+ZavPwOAAD///TVrYA=,07:30,10:10,ANR,ALC,Direct,0,2u 40m,Alicante,Antwerpen,10,TB,TUI fly,164.99,164.99
2023-03-09,2023-06-28,2023-06-28,1101,eJyMkl9r4kAUxb+KXF/vtPMnSe28TYINS0JcomIXEZlJJku2WVMSXSjifPZlqrD1bSFP5/4499yTOYMGCcUyw/m6xFWMDClS/L7GRTHfqB+o8hyPQ/s+7kfd2RE38xjDKAQEA3K7BVWUqPIEOeWC0Ijw2YpGUlBJ6Z32LNmn5lcwyvCFIWKWbFJE2O0QKpDbM5i+f2sPP5NOjyNIeGGAcBjfHiovLJqlHf60lQUJWXKbNHqwsR7bMenr62CTfhktbddl9gMkUJclbuJehfOI4yGjzlHHnHu98b/603CwH1fcZ6cRn01Wsc87UUWp8uSe/Ge+ip2n3MQ5VZSORo989ugtJp9lOJUnd6Jvw7mb22Dqr7cOp84Wp9/GDj5GyChcdggeEbJpuKnNLCKiehIkaLQlJpgxUgdCBJSzgAbP8l0Px/bY9gdS6YbbKgwIi0xNgkY8Ec3ChnAbidoazfmTAQQL8gyxSlOVzv1rWOxjle6/FQlcEBqQUM6X63w1/Z/t0+tPF8TfyPxHwwcRhtNimU1VURLf4uVvAAAA//8K/62Q,06:30,09:10,ANR,ALC,Direct,0,2u 40m,Alicante,Antwerpen,10,TB,TUI fly,184.99,184.99
2023-03-09,2023-06-29,2023-06-29,1103,eJyMkl+L4jAUxb+KXF9vZvKnrZq3tDhlaalLVZxFRJI2Xbrj2qHVhUHMZ18yCju+LeTp3B/nnpzkAhokFMsM5+sSVzEypEjx+xoXxXyjfqDKczz17fuwH/TBDriZxxhGISAYkNstqKJElSfIKReERoTPViyUgkpKH7SpZJ+aX8GowBeGiJnapIiw2yFUILcXMF331h5/Jgc9DCDhhQHCcXh7qrywaJa2/9NWFiRk6j5pdG9jPbRD0tW3wSb9MlrawyGzHyCBuky5kXsVziOOh4w6Rx1z7vXO/+rO/dF+3HCfnUZ8NlrFPu9IFaXKk0fyn/kqdp5yI+dUUToaPfPZs7cYfZbhVJ48iL4N5+5uvam/3rU/H2xx/m1s72OEjMJ1h+ARLpuGm9pMIyKqiSBBoy0xwZSROhAioJwFNJjJd92f2lPbHUmlG26rMCAsMjUJGjEhmoUN4TYStTWa84kBBAvyArFKU5XO/W9Y7GOV7r8VCVwRGpBQzpfrfDX+n+3j26MLQmeSMX9o+CTCcFwss7EqSuJbvP4NAAD//woRrZA=,15:30,18:10,ANR,ALC,Direct,0,2u 40m,Alicante,Antwerpen,10,TB,TUI fly,174.99,174.99
