dateDataRecieved,departAirportCode,departAirportName,arrivalAirportCode,arrivalAirportName,departDate,arrivalDate,depTime,arrivalTime,journeyDuration,flightNumber,routeGroup,JourneyType,availableSeats,totalNumberOfStops,totalPrice,currency,fareCount,farePublishedFare,flightKey
2023-03-28,CRL,Brussels (Charleroi),AGP,Malaga,2023-04-03,2023-04-03,19:20:00,22:05:00,02:45,FR 1916,LEISURE,SUN_BREAK,5,1,204.99,EUR,1,204.99,FR~1916~ ~~CRL~04/03/2023 19:20~AGP~04/03/2023 22:05~~
2023-03-28,CRL,Brussels (Charleroi),PMI,Mallorca,2023-04-01,2023-04-01,17:20:00,19:30:00,02:10,FR 7831,LEISURE,SUN_BREAK,2,1,172.49,EUR,1,172.49,FR~7831~ ~~CRL~04/01/2023 17:20~PMI~04/01/2023 19:30~~
2023-03-28,CRL,Brussels (Charleroi),PMI,Mallorca,2023-04-03,2023-04-03,08:55:00,11:05:00,02:10,FR 7831,LEISURE,SUN_BREAK,2,1,156.27,EUR,1,156.27,FR~7831~ ~~CRL~04/03/2023 08:55~PMI~04/03/2023 11:05~~
2023-03-28,CRL,Brussels (Charleroi),TFS,Tenerife (South),2023-04-02,2023-04-02,12:35:00,16:10:00,04:35,FR 563,CANARY,SUN_BREAK,2,1,265.03,EUR,1,265.03,FR~ 563~ ~~CRL~04/02/2023 12:35~TFS~04/02/2023 16:10~~
2023-03-28,CRL,Brussels (Charleroi),HER,Heraklion Crete,2023-04-04,2023-04-04,07:20:00,11:45:00,03:25,FR 7986,LEISURE,SUN_BREAK,4,1,114.47,EUR,1,124.99,FR~7986~ ~~CRL~04/04/2023 07:20~HER~04/04/2023 11:45~~
2023-03-28,CRL,Brussels (Charleroi),BDS,Brindisi,2023-04-04,2023-04-04,17:20:00,19:45:00,02:25,FR 7737,LEISURE,SUN_BREAK,5,1,102.41,EUR,1,102.41,FR~7737~ ~~CRL~04/04/2023 17:20~BDS~04/04/2023 19:45~~
2023-03-28,CRL,Brussels (Charleroi),NAP,Naples,2023-04-04,2023-04-04,19:20:00,21:35:00,02:15,FR 1302,LEISURE,SUN_BREAK,-1,1,80.71,EUR,1,85.99,FR~1302~ ~~CRL~04/04/2023 19:20~NAP~04/04/2023 21:35~~
2023-03-28,CRL,Brussels (Charleroi),PMO,Palermo,2023-04-04,2023-04-04,15:35:00,18:05:00,02:30,FR 6269,LEISURE,SUN_BREAK,3,1,105.42,EUR,1,105.42,FR~6269~ ~~CRL~04/04/2023 15:35~PMO~04/04/2023 18:05~~
2023-03-28,CRL,Brussels (Charleroi),FAO,Faro,2023-04-04,2023-04-04,13:45:00,15:40:00,02:55,FR 2941,LEISURE,SUN_BREAK,4,1,155.09,EUR,1,155.09,FR~2941~ ~~CRL~04/04/2023 13:45~FAO~04/04/2023 15:40~~
2023-03-28,CRL,Brussels (Charleroi),FAO,Faro,2023-04-04,2023-04-04,16:45:00,18:40:00,02:55,FR 6312,LEISURE,SUN_BREAK,2,1,135.12,EUR,1,139.99,FR~6312~ ~~CRL~04/04/2023 16:45~FAO~04/04/2023 18:40~~
