datum_extract,datum_vlucht,start,stop,Vertrek uur,Aankomst uur,duur,aantalStops,prijs,stoelen,tussenstop Viegvelden,FlightNummers,Vliegtuigen
2023-03-28,zondag 29 oktober 2023,Brussel,Palermo,12:30,17:15,4h 45m,1,"154,58",-1,"{'(BRU)', '(PMO)', '(MUC)'}","{'2287', '2023', '1914'}","{'A319', 'A320'}"
2023-03-28,zondag 29 oktober 2023,Brussel,Palermo,10:50,17:15,6h 25m,1,"154,58",1,"{'(BRU)', '(PMO)', '(MUC)'}","{'2023', '1914', '2285'}",{'A319'}
2023-03-28,zondag 29 oktober 2023,Brussel,Palermo,11:20,17:15,5h 55m,2,"191,11",-1,"{'(BRU)', '(FRA)', '(PMO)', '(MUC)'}","{'1009', '2023', '1914'}","{'A319', 'A320', 'A321'}"
2023-03-28,zondag 29 oktober 2023,Brussel,Palermo,09:30,17:15,7h 45m,2,"191,11",3,"{'(BRU)', '(FRA)', '(PMO)', '(MUC)'}","{'2023', '1914', '1007'}","{'A319', 'A320'}"
2023-03-28,zondag 29 oktober 2023,Brussel,Palermo,09:30,17:15,7h 45m,2,"191,11",4,"{'(BRU)', '(FRA)', '(PMO)', '(MUC)'}","{'2023', '1914', '1007'}","{'A319', 'A320', 'A321'}"
2023-03-28,maandag 30 oktober 2023,Brussel,Palermo,09:45,15:00,5h 15m,1,"395,31",-1,"{'(BRU)', '(ZRH)', '(PMO)'}","{'1740', '2023'}",{'A220-300'}
2023-03-28,maandag 30 oktober 2023,Brussel,Palermo,06:40,15:00,8h 20m,1,"299,31",4,"{'(BRU)', '(ZRH)', '(PMO)'}","{'4545', '1740', '2023'}",{'A319'}
2023-03-28,maandag 30 oktober 2023,Brussel,Palermo,06:20,15:00,8h 40m,2,"363,78",-1,"{'(GVA)', '(BRU)', '(ZRH)', '(PMO)'}","{'2807', '2023', '4551', '1740'}","{'A319', 'A321NEO'}"
2023-03-28,maandag 30 oktober 2023,Brussel,Palermo,06:20,15:00,8h 40m,2,"417,78",-1,"{'(GVA)', '(BRU)', '(ZRH)', '(PMO)'}","{'2809', '1740', '2023', '4551'}","{'A319', 'A220-300'}"
