date_data_recieved,departDate,arrivalDate,flightNumber,productId,depTime,arrivalTime,departAirportCode,arrivalAirportCode,journeyType,totalNumberOfStops,journeyDuration,arrivalAirportName,departAirportName,availableSeats,carrierCode,carrierName,totalPrice
2023-03-29,2023-05-05,2023-05-05,2341,eJyMklGL4j4Uxb+KXF9vZm5So9O8meLUP4r9E1ucRURSTZfuuHZodWEQ89mXjMK6b/t6zo+Tk5NcwIKCxXKGk8JgrpEjIeH/BWaLyWr8DcfzOZ7a+qPbdvbgOlxNNMqhBIQS1HoN2hRophkKEhEjyUjmNFREiuhR4/yu5RpFNOD4yhHRJKsUETYbhB2o9QXKpnmvj9+Tg+06UPDKAeHYvT/tgpBVS9f+qncOFJjk7lS2ddp2dZc0+5uxSh+spTscZu4TFJA3ie/5t8gHxAvJyXvy3Pu3O/+jObdH93nDQ3eSJHu5Dn172hRmmv1N/gnPtQ+U73mvTeFJPpN8DhG9rzG8mWaP4tca3t/T2nL/eNf2fHCL88/StaGG5ATXDUJAuCoHdsQHzrFRKWM2sJVlZRVXbM9HI3KSUyRL9WHbU32qmyOrLI9GsYuZjCliA2sFi+XespiLktNuKHi5BwQH6gJ6nKbjdBJ+Q7bV43T73yKBK0IVRp0si3ne/5fT+7dHj5iIFRdKxEq8PL3Eor9YzvraFCyseP0dAAD//6Grrms=,06:00,11:00,BRU,RHO,Direct,0,4u 0m,Rhodos,Brussel,6,TB,TUI fly,489.99
2023-03-29,2023-05-06,2023-05-06,2341,eJyMklGL4jAUhf+KXF9vZm7SRid5M6J1UexSW5xFRFJNl+64OrS6MIj57UtWYce3eT3n4+TkJBewoGG+mOKoyDA3yJGQ8HuB6Xy0HPzAwWyGp6Z+bzet3bsWlyODsicBoQS9WoHJCswmKQoSESPJqJfzWHOpiR40dddygyKKOY45IqbjZYII6zXCFvTqAuXx+FYffg73tm1Bw5gDwqF9e9oGIa0WrvlTbx1oSMd3p7KNM7at2+FxdzOWySdr4fb7qfsADeTTse/418gHxAvJyXvy3PvXO//reG4O7uOGh+4kqdfJTejbMVmRTdJH8n94bnygfMd7kxWe5DP1nkNE598YPpukD2JYw/t7WlPuPt+1Oe/d/Py7dE2oITnBdY0QENJlbPs8do71S6lYbCvLykpVbMf7fXKSUyRL/W6bU32qjwdWWR71lVNMKopYbK1gSu4sU1yUnLY9wcsdIDjQFzCDJBkko/Ab0o0ZJJtv8yFcESrQkI0WxSzvfuX07u3RIyaU5kILpcXL04sS3fli2jVZwcKK178BAAD//+MZrpU=,14:15,19:15,BRU,RHO,Direct,0,4u 0m,Rhodos,Brussel,10,TB,TUI fly,339.99
2023-03-29,2023-05-06,2023-05-06,2371,eJyMkVFv2jAUhf8Kurxet9dOTGq/4YqGCZRMJIhOCCEHnCkrgyqBSRXCv31yQVp52+s5n46Pzz2DBQ1ZMcHRfIalQY6EhN/nmGejxfAHDqdTPLbNe7fu7M51uBgZlAMJCBXo5RLyosTZOEdBImIkGQ1KHuuINNGdpnT8qZUGRZRwfOGImJlFigirFcIG9PIM1eHw1ux/Pu9s14GGFw4I++7tYROEvC5c+6fZuNDY3Jzats7YrumeD9ursUi/WIXb7SbuAzSQz4zv+dfIB8QLycl78tz71xv/63Bq9+7jiofuJGnQK03o28uLcjbO78l/4aXxgfI97/Oi9CQfafAYInqfY/jZOL8Twxre39Laavv1r+1p57LT78q1oYbkBJcVQkBIV7FNeOwcSyqpWGxry6pa1WzLk4Sc5BTJSr/b9tgcm8Oe1ZZHiXKKSUURi60VTMmtZYqLitNmIHi1BQQH+gxmmKbDdBQmzNdmmK6/Zc9wQahBw2xUzKdl/39e71+PHjGhNBdaKC2eHp6U6mfFpJ8XJQsrXv4GAAD///RmrrY=,14:30,19:40,OST,RHO,Direct,0,4u 10m,Rhodos,Brugge-Oostende,10,TB,TUI fly,269.99
2023-03-29,2023-05-07,2023-05-07,2365,eJyMkV+L4jAUxb+KXF9vZtL8aTVvdtC4WNpFK84iImmbLt1x7dDqwiDmsy8ZhR3f9vWcHycn517AgIJ0tcDpeol5jAFSpPh9jVk63Ux+4CRJ8NQ17/2+Nwfb42YaowwlIBSgtltItMblPENGGSdUEhrlAVNCKkoftEjxTy2PkfFQ4ixAxHS20Yiw2yGUoLYXKNr2rTn+fDmYvgcFswAQjv3bU+mFrF7Z7k9TWt94dndq09nY9E3/0lY3Y6O/WCt7OCzsByigLp25gXvlziOOyYA6R13g3Oud/9Weu6P9uOG+O5U0GuSx7ztItF7Os0fyX3geO0+5gXOJ1o7KZxo9+4jB5xhuOc8eRL+Gc/e0rqi+/rU7H2x6/l3YzteQAYXrDsEjVHFjZSVqQ4Q1BRFVWZKiMmMiTB2ETIiyFEy9m+7UnJr2SCi3I0lFSKrIjogQIiBFaCISFqbkYiTNuI4AwYK6QDzReqKnfsJsH0/0/lv6AleEGhQsp6t1kg//5/Xh7eicsLEKmGJjxcMnPuLDdLUYJloTv+L1bwAAAP//UMOvrA==,12:45,17:35,LGG,RHO,Direct,0,3u 50m,Rhodos,Luik,10,TB,TUI fly,289.99
2023-03-29,2023-05-07,2023-05-07,2341,eJyMkt+K4jAYxV9FPm+/zCRt0trcGenUxT9daouziEjapkt3XB1aXRjEPPuSVdjxbm7P+XFycpILaJCwXM0wLjLMFTKkSPF7gekyXo9/4Hg+x1PXvve7Xu9Nj+tYoQgEIJQgNxtQWYHZNEWPej6hgtAwZ1wyISl90KK7liv0fM7whSHiIl4niLDdIlQgNxcoj8e39vBzstd9DxJeGCAc+renyglpszLdn7YyIGER351Gd0bpvu0nx/pmrJNP1srs9zPzARKoXcR2YF996xDrCUatpZZZ+3rnfx3P3cF83HDXnQoaDnLl+g5UVmTT9JH8H54r6yg7sFZlhaXimYbPLmLwbwybTdMH0a1h7T2tK+vPd+3Oe7M8/y5N52oIRuG6RXAIlb42ouaNJtzokvC6qkhZ64hw3bDA47yquCffdXdqT+3xQKhvRoLygNShGRHOOSNloEMSlLry+UjoqAkBwYC8gBonyTiJ3W9Id2qc7L4tJ3BFaEBCFq+KeT78yunD26P7xIsk86QXST948qNguFzNhioriFvx+jcAAP//Z/qvzg==,14:15,19:15,BRU,RHO,Direct,0,4u 0m,Rhodos,Brussel,10,TB,TUI fly,254.99
2023-03-29,2023-05-09,2023-05-09,2341,eJyMkVGL4jAUhf+KXF9vZpI2qTZvRp26KO1SW5xFRNI2Xbrj2qHVhUHMb18yCuu+zes5Hycn515Ag4R4vcR5nmKmkCFFit9zTOL5ZvIDJ6sVnrrmvd/3+mB63MwVikAAQgFyuwWV5pguEvSo5xMqCA0zGkhKJaWPGmN3LVPo+ZzhC0PEeLaJEGG3QyhBbi9QtO1bc/w5Pei+BwkvDBCO/dtT6YSkXpvuT1Ma13h2d2rdGaX7pp+21c3YRA/W2hwOS/MBEqiNZ3ZgX33rEOsJRq2llln7eud/tefuaD5uuOtOBQ0HmXJ9ByrN00XyP/kvPFPWUXZgrUpzS8UzDZ9dxOBzDJsukkfxcw1r72ldUT3+tTsfTHz+XZjO1RCMwnWH4BAmfW1ExWtNuNEF4VVZkqLSIeG6ZoHHeVlyT77r7tScmvZIqG/GgvKAVCMzJpxzRopAj0hQ6NLnY6HDegQIBuQF1CSKJtHcTZjs1STaf4uncEWoQUI6X+erbPiV14e3o/vECyXzpBdKP3jyw2AYr5dDlebErXj9GwAA//89mK+z,06:00,11:00,BRU,RHO,Direct,0,4u 0m,Rhodos,Brussel,10,TB,TUI fly,279.99
2023-03-29,2023-05-12,2023-05-12,2341,eJyMklGL4jAcxL+K/H39ZzdJk6p5M+rWQ7FHbXEPEUnb9OitZ5dWDxYxn/3IKpz3tq8zPyaTSS5gQMFqvcBZlmCqkSFFit8zjFezzfgHjpdLPLX1e7fvzMF2uJlplKEEhBzUdgs6yTCZx8gpDwiVhPGUhopSRemjxthdSzXyQDB8YYgYTzcRIux2CAWo7QXypnmrjz8nB9N1oOCFAcKxe3sqvBBXa9v+qQsLCuLp3alMa7Xp6m7SlDdjEz1Ya3s4LOwHKKAunrqeew2cRxyXjDpHHXPu9c7/as7t0X7ccN+dSsZ7qfZ9ezrJknn8P/kvPNXOU67nnE4yR+Uz488+ovc5hkvm8aP4uYZz97Q2Lx/v2p4PdnX+ndvW15CMwnWH4BGuAmNlKSpDhDU5EWVRkLw0IyJMxUIuRFEIrt5Ne6pPdXMkNLBDSUVIyoEdEiEEI3loBiTMTRGIoTSjagAIFtQF9DiKxtHM/4Z4r8fR/ttqAleEChQks3W2TPtfOb1/e/SA8JFiXPGRCsKnYBT2V+tFXycZ8Ste/wYAAP//GKevmw==,06:00,11:00,BRU,RHO,Direct,0,4u 0m,Rhodos,Brussel,10,TB,TUI fly,319.99
2023-03-29,2023-05-13,2023-05-13,2341,eJyMklGL4jAcxL+K/H39ZzdpkmrzZkTroVipLe4hImmbHr31dGn1YBHz2Y+cwq1v9zrzYzKZ5AoGFCzXc5zkKWYaGVKkuMoxWU42o+84Wizw3DYf3b4zB9vhZqJRhhIQClDbLeg0x3SWYEADTqgkjGdMKCYVpU9a9NAyjQEXDKcMEVfTTYwIux1CCWp7heJ0em+OP8YH03WgYMoA4di9v5ReSOq1bX83pQUFq+nDqU1rtemabnyq7sYm/mKt7eEwt5+ggLrV1PXcG3cecYFk1DnqmHNvD/7n6dIe7ecd992pZLyXad+3p9M8nSXP5L/wTDtPuZ5zOs0dla+Mv/qI3t8xXDpLnkS/hnOPtLaovt61vRzs8vKrsK2vIRmF2w7BI1xxY2UlakOENQURVVmSojIREaZmYSBEWYpAfZj23Jyb05FQboeSipBUAzskQghGitAMSFiYkouhNFE9AAQL6gp6FMejeOJ/Q7LXo3j/bTmGG0INCtLJOl9k/f85vX9/dE6CSLFABZHi4QuPwv5yPe/rNCd+xdufAAAA//908q/W,14:15,19:15,BRU,RHO,Direct,0,4u 0m,Rhodos,Brussel,10,TB,TUI fly,399.99
2023-03-29,2023-05-13,2023-05-13,2371,eJyMkVGL4jAUhf+KXF9vZpImrTZvtjh1UZrFRpxFRNI2Xbrj6tDqwiDmty8ZhR3f9vWcj5OTcy9gQEJezHG6WqJOkCFFit9XqPLpevIDJ4sFnrr2vd/1Zm97XE8TDKMQEEqQmw2oQuNypjCgASc0JIxrJiSnktIHLZbiU9MJBnzE8IUhYp6uM0TYbhEqkJsLlMfjW3v4me5N34OEFwYIh/7tqfKCagrb/Wkr6xund6cxnU1M3/bpsb4Z6+yLVdj9fm4/QAJ1eeoG7pU7j7ggZNQ56phzr3f+1/HcHezHDffdacj4QCe+70AVejlTj+S/cJ04T7mBc6rQjobPjD/7iMHnGG45Uw+iX8O5e1pX1l//2p33Nj//Lm3na4SMwnWL4BEqubFhLRpDhDUlEXVVkbI2MRGmYVEgRFWJQL6b7tSe2uOBUG7HIRURqUd2TIQQjJSRGZGoNBUX49DEzQgQLMgLJJMsm2RTP6HaJZNs9y1P4YrQgITltFgt9PB/Xh/ejs5JEEsWyCCWPHricTTMi/lQFZr4Fa9/AwAA//+Dc6/t,14:30,19:40,OST,RHO,Direct,0,4u 10m,Rhodos,Brugge-Oostende,10,TB,TUI fly,274.99
2023-03-29,2023-05-14,2023-05-14,2365,eJyMkl2LGjEYhf+KvN6+2c2nmtw5gxuLg1N0xC0iMh+ZMl2ry4wWFjG/vWQVut719pyHk5OTXCAHA/PlDCerBWYRMqRI8fsK0/lkPf6B4yTBU9u8d7su37sO15MI1UABQgFms4HEWlxMU+SUC0IVYTJj3EhlKH3QhkZ8almEXAwUvjBETOO1RYTtFqEEs7lAcTy+NYef8T7vOjDwwgDh0L09lUFI66Vr/zSlAwNpfHfqvHVR3jVdfKxuxtp+sZZuv5+5DzBAfRr7nn8VPiCeK0a9p555/3rnfx3P7cF93PDQnSome1kU+vYSaxfT9JH8F55FPlC+531irafqmcnnENH7HMMvpumDGNbw/p7WFtXXu7bnvZuffxeuDTUUo3DdIgSEGjlkZSnFiBSMOSKZVqTQNSVa8HpUVYWmo5F5z9tTc2qOB0JrprjUlOg6HxA5kgOih6IkUg0rKSrqGNOA4MBcIBpbO7aT8BvSXTS2u2/zGK4INRhYTJarJOv/z+n926MLwrVh3HBtpHwaiGF/vpz1E2tJWPH6NwAA//+KqqxG,12:45,17:35,LGG,RHO,Direct,0,3u 50m,Rhodos,Luik,10,TB,TUI fly,309.99
