,origin,originName,destination,destinationName,dateOut,flightNumber,duration,faresLeft,infantsLeft,fareType,fareAmount,fareCount,fareHasDiscount,farePublishedFare,fareDiscountInPercent,fareHasPromoDiscount,fareDiscountAmount,fareHasBogof
0,CRL,Brussels (Charleroi),PMO,Palermo,2023-09-29T00:00:00.000,FR 6269,02:30,-1,17,ADT,99.99,1,False,99.99,0,False,0.0,False
1,CRL,Brussels (Charleroi),PMO,Palermo,2023-09-30T00:00:00.000,FR 6269,02:29,-1,18,ADT,55.99,1,False,55.99,0,False,0.0,False
2,CRL,Brussels (Charleroi),PMO,Palermo,2023-10-02T00:00:00.000,FR 6269,02:30,-1,18,ADT,70.13,1,False,70.13,0,False,0.0,False
3,CRL,Brussels (Charleroi),PMO,Palermo,2023-10-03T00:00:00.000,FR 6269,02:30,-1,18,ADT,85.99,1,False,85.99,0,False,0.0,False
4,PMO,Palermo,CRL,Brussels (Charleroi),2023-03-31T00:00:00.000,FR 6268,02:35,-1,16,ADT,24.99,1,False,24.99,0,False,0.0,False
5,PMO,Palermo,CRL,Brussels (Charleroi),2023-04-01T00:00:00.000,FR 6268,02:35,-1,15,ADT,24.99,1,False,24.99,0,False,0.0,False
6,PMO,Palermo,CRL,Brussels (Charleroi),2023-04-03T00:00:00.000,FR 6268,02:35,-1,18,ADT,24.99,1,False,24.99,0,False,0.0,False
0,CRL,Brussels (Charleroi),FAO,Faro,2023-09-29T00:00:00.000,FR 2941,02:55,-1,18,ADT,50.99,1,False,50.99,0,False,0.0,False
1,CRL,Brussels (Charleroi),FAO,Faro,2023-09-29T00:00:00.000,FR 6312,02:55,-1,18,ADT,88.74,1,False,88.74,0,False,0.0,False
2,CRL,Brussels (Charleroi),FAO,Faro,2023-09-30T00:00:00.000,FR 2941,02:55,2,18,ADT,116.69,1,False,116.69,0,False,0.0,False
3,CRL,Brussels (Charleroi),FAO,Faro,2023-10-01T00:00:00.000,FR 2941,02:55,1,18,ADT,88.74,1,False,88.74,0,False,0.0,False
4,CRL,Brussels (Charleroi),FAO,Faro,2023-10-01T00:00:00.000,FR 6312,02:55,-1,18,ADT,67.99,1,False,67.99,0,False,0.0,False
5,CRL,Brussels (Charleroi),FAO,Faro,2023-10-02T00:00:00.000,FR 2941,02:55,-1,18,ADT,65.87,1,False,65.87,0,False,0.0,False
6,CRL,Brussels (Charleroi),FAO,Faro,2023-10-03T00:00:00.000,FR 2941,02:55,-1,18,ADT,75.7,1,False,75.7,0,False,0.0,False
7,CRL,Brussels (Charleroi),FAO,Faro,2023-10-03T00:00:00.000,FR 6312,02:55,-1,18,ADT,67.99,1,False,67.99,0,False,0.0,False
