date_data_recieved,arrivalAirportCode,departAirportCode,journeyDuration,totalNumberOfStops,connectionTime,availableSeats,basePrice,totalPrice,tax,flightId
2023-04-03,BRU,PMO,51600,1,40200,9,14100,26167,12067,"['SEG-LH2291-BRUMUC-2023-05-30-2045', 'SEG-LH1914-MUCPMO-2023-05-31-0910']",2023-05-30,2023-05-31
2023-04-03,BRU,PMO,54000,2,3600,9,14100,31432,17332,"['SEG-LH1019-BRUFRA-2023-05-30-2005', 'SEG-LH94-FRAMUC-2023-05-31-0715', 'SEG-LH1914-MUCPMO-2023-05-31-0910']",2023-05-30,2023-05-31
2023-04-03,BRU,PMO,57000,2,39600,9,14100,31520,17420,"['SEG-LH5589-BRUFRA-2023-05-30-1915', 'SEG-LH122-FRAMUC-2023-05-30-2115', 'SEG-LH1914-MUCPMO-2023-05-31-0910']",2023-05-30,2023-05-31
2023-04-03,BRU,PMO,27300,2,3900,9,20400,41752,21352,"['SEG-LX4551-BRUGVA-2023-05-30-0620', 'SEG-LX2807-GVAZRH-2023-05-30-1000', 'SEG-LX1742-ZRHPMO-2023-05-30-1200']",2023-05-30,2023-05-30
2023-04-03,BRU,PMO,15300,1,2400,9,11300,22338,11038,"['SEG-OS360-BRUVIE-2023-05-30-1445', 'SEG-OS487-VIEPMO-2023-05-30-1705']",2023-05-30,2023-05-30
2023-04-03,BRU,PMO,15000,1,3600,9,14100,25421,11321,"['SEG-LX787-BRUZRH-2023-05-30-0945', 'SEG-LX1742-ZRHPMO-2023-05-30-1200']",2023-05-30,2023-05-30
2023-04-03,BRU,PMO,25200,1,13800,9,14100,25421,11321,"['SEG-LX4545-BRUZRH-2023-05-30-0655', 'SEG-LX1742-ZRHPMO-2023-05-30-1200']",2023-05-30,2023-05-30
2023-04-03,BRU,PMO,15000,1,3300,9,14100,25458,11358,"['SEG-LH5629-BRUMUC-2023-05-30-0655', 'SEG-LH1914-MUCPMO-2023-05-30-0910']",2023-05-30,2023-05-30
2023-04-03,BRU,PMO,33000,1,20100,9,14100,25938,11838,"['SEG-OS352-BRUVIE-2023-05-30-0950', 'SEG-OS487-VIEPMO-2023-05-30-1705']",2023-05-30,2023-05-30
2023-04-03,BRU,PMO,51600,1,40200,9,14100,26167,12067,"['SEG-LH2291-BRUMUC-2023-05-30-2045', 'SEG-LH1914-MUCPMO-2023-05-31-0910']",2023-05-30,2023-05-31
2023-04-03,BRU,PMO,54000,2,3600,9,14100,31432,17332,"['SEG-LH1019-BRUFRA-2023-05-30-2005', 'SEG-LH94-FRAMUC-2023-05-31-0715', 'SEG-LH1914-MUCPMO-2023-05-31-0910']",2023-05-30,2023-05-31
2023-04-03,BRU,PMO,57000,2,39600,9,14100,31520,17420,"['SEG-LH5589-BRUFRA-2023-05-30-1915', 'SEG-LH122-FRAMUC-2023-05-30-2115', 'SEG-LH1914-MUCPMO-2023-05-31-0910']",2023-05-30,2023-05-31
2023-04-03,BRU,PMO,27300,2,3900,9,20400,41752,21352,"['SEG-LX4551-BRUGVA-2023-05-30-0620', 'SEG-LX2807-GVAZRH-2023-05-30-1000', 'SEG-LX1742-ZRHPMO-2023-05-30-1200']",2023-05-30,2023-05-30
2023-04-03,BRU,PMO,15300,1,2400,9,11300,22338,11038,"['SEG-OS360-BRUVIE-2023-05-30-1445', 'SEG-OS487-VIEPMO-2023-05-30-1705']",2023-05-30,2023-05-30
2023-04-03,BRU,PMO,15000,1,3600,9,14100,25421,11321,"['SEG-LX787-BRUZRH-2023-05-30-0945', 'SEG-LX1742-ZRHPMO-2023-05-30-1200']",2023-05-30,2023-05-30
2023-04-03,BRU,PMO,25200,1,13800,9,14100,25421,11321,"['SEG-LX4545-BRUZRH-2023-05-30-0655', 'SEG-LX1742-ZRHPMO-2023-05-30-1200']",2023-05-30,2023-05-30
2023-04-03,BRU,PMO,15000,1,3300,9,14100,25458,11358,"['SEG-LH5629-BRUMUC-2023-05-30-0655', 'SEG-LH1914-MUCPMO-2023-05-30-0910']",2023-05-30,2023-05-30
2023-04-03,BRU,PMO,33000,1,20100,9,14100,25938,11838,"['SEG-OS352-BRUVIE-2023-05-30-0950', 'SEG-OS487-VIEPMO-2023-05-30-1705']",2023-05-30,2023-05-30
2023-04-03,BRU,PMO,51600,1,40200,9,14100,26167,12067,"['SEG-LH2291-BRUMUC-2023-05-30-2045', 'SEG-LH1914-MUCPMO-2023-05-31-0910']",2023-05-30,2023-05-31
2023-04-03,BRU,PMO,54000,2,3600,9,14100,31432,17332,"['SEG-LH1019-BRUFRA-2023-05-30-2005', 'SEG-LH94-FRAMUC-2023-05-31-0715', 'SEG-LH1914-MUCPMO-2023-05-31-0910']",2023-05-30,2023-05-31
2023-04-03,BRU,PMO,57000,2,39600,9,14100,31520,17420,"['SEG-LH5589-BRUFRA-2023-05-30-1915', 'SEG-LH122-FRAMUC-2023-05-30-2115', 'SEG-LH1914-MUCPMO-2023-05-31-0910']",2023-05-30,2023-05-31
2023-04-03,BRU,PMO,27300,2,3900,9,20400,41752,21352,"['SEG-LX4551-BRUGVA-2023-05-30-0620', 'SEG-LX2807-GVAZRH-2023-05-30-1000', 'SEG-LX1742-ZRHPMO-2023-05-30-1200']",2023-05-30,2023-05-30
2023-04-03,BRU,PMO,15300,1,2400,9,11300,22338,11038,"['SEG-OS360-BRUVIE-2023-05-30-1445', 'SEG-OS487-VIEPMO-2023-05-30-1705']",2023-05-30,2023-05-30
2023-04-03,BRU,PMO,15000,1,3600,9,14100,25421,11321,"['SEG-LX787-BRUZRH-2023-05-30-0945', 'SEG-LX1742-ZRHPMO-2023-05-30-1200']",2023-05-30,2023-05-30
2023-04-03,BRU,PMO,25200,1,13800,9,14100,25421,11321,"['SEG-LX4545-BRUZRH-2023-05-30-0655', 'SEG-LX1742-ZRHPMO-2023-05-30-1200']",2023-05-30,2023-05-30
2023-04-03,BRU,PMO,15000,1,3300,9,14100,25458,11358,"['SEG-LH5629-BRUMUC-2023-05-30-0655', 'SEG-LH1914-MUCPMO-2023-05-30-0910']",2023-05-30,2023-05-30
2023-04-03,BRU,PMO,33000,1,20100,9,14100,25938,11838,"['SEG-OS352-BRUVIE-2023-05-30-0950', 'SEG-OS487-VIEPMO-2023-05-30-1705']",2023-05-30,2023-05-30
2023-04-03,BRU,PMO,51600,1,40200,9,14100,26167,12067,"['SEG-LH2291-BRUMUC-2023-05-30-2045', 'SEG-LH1914-MUCPMO-2023-05-31-0910']",2023-05-30,2023-05-31
2023-04-03,BRU,PMO,54000,2,3600,9,14100,31432,17332,"['SEG-LH1019-BRUFRA-2023-05-30-2005', 'SEG-LH94-FRAMUC-2023-05-31-0715', 'SEG-LH1914-MUCPMO-2023-05-31-0910']",2023-05-30,2023-05-31
2023-04-03,BRU,PMO,57000,2,39600,9,14100,31520,17420,"['SEG-LH5589-BRUFRA-2023-05-30-1915', 'SEG-LH122-FRAMUC-2023-05-30-2115', 'SEG-LH1914-MUCPMO-2023-05-31-0910']",2023-05-30,2023-05-31
2023-04-03,BRU,PMO,27300,2,3900,9,20400,41752,21352,"['SEG-LX4551-BRUGVA-2023-05-30-0620', 'SEG-LX2807-GVAZRH-2023-05-30-1000', 'SEG-LX1742-ZRHPMO-2023-05-30-1200']",2023-05-30,2023-05-30
2023-04-03,BRU,PMO,48900,1,35700,9,6000,13638,7638,"['SEG-OS8176-BRUVIE-2023-04-30-1915', 'SEG-OS487-VIEPMO-2023-05-01-0655']",2023-04-30,2023-05-01
2023-04-03,BRU,PMO,46200,1,33300,9,7500,15938,8438,"['SEG-OS356-BRUVIE-2023-04-30-2000', 'SEG-OS487-VIEPMO-2023-05-01-0655']",2023-04-30,2023-05-01
2023-04-03,BRU,PMO,51600,1,40200,9,7500,16167,8667,"['SEG-LH2291-BRUMUC-2023-04-30-2045', 'SEG-LH1914-MUCPMO-2023-05-01-0910']",2023-04-30,2023-05-01
2023-04-03,BRU,PMO,26700,1,15000,9,20400,35467,15067,"['SEG-LH1007-BRUFRA-2023-04-30-0930', 'SEG-LH338-FRAPMO-2023-04-30-1440']",2023-04-30,2023-04-30
2023-04-03,BRU,PMO,15000,1,3300,6,25200,39558,14358,"['SEG-LH5629-BRUMUC-2023-04-30-0655', 'SEG-LH1914-MUCPMO-2023-04-30-0910']",2023-04-30,2023-04-30
2023-04-03,BRU,PMO,20100,1,8400,2,25200,40267,15067,"['SEG-LH1009-BRUFRA-2023-04-30-1120', 'SEG-LH338-FRAPMO-2023-04-30-1440']",2023-04-30,2023-04-30
2023-04-03,BRU,PMO,34200,2,3900,9,20400,41752,21352,"['SEG-LX791-BRUGVA-2023-04-30-0915', 'SEG-LX2811-GVAZRH-2023-04-30-1450', 'SEG-LX1744-ZRHPMO-2023-04-30-1650']",2023-04-30,2023-04-30
2023-04-03,BRU,PMO,32700,1,21000,1,30600,44921,14321,"['SEG-LX787-BRUZRH-2023-04-30-0940', 'SEG-LX1744-ZRHPMO-2023-04-30-1650']",2023-04-30,2023-04-30
2023-04-03,BRU,PMO,44700,2,17700,1,30600,51952,21352,"['SEG-LX4551-BRUGVA-2023-04-30-0620', 'SEG-LX2809-GVAZRH-2023-04-30-1100', 'SEG-LX1744-ZRHPMO-2023-04-30-1650']",2023-04-30,2023-04-30
2023-04-03,BRU,PMO,15300,1,3600,9,44100,58421,14321,"['SEG-LX787-BRUZRH-2023-04-30-0940', 'SEG-LX1742-ZRHPMO-2023-04-30-1200']",2023-04-30,2023-04-30
2023-04-03,BRU,PMO,27300,2,3900,6,44100,65452,21352,"['SEG-LX4551-BRUGVA-2023-04-30-0620', 'SEG-LX2807-GVAZRH-2023-04-30-1000', 'SEG-LX1742-ZRHPMO-2023-04-30-1200']",2023-04-30,2023-04-30
2023-04-03,BRU,PMO,48900,1,35700,9,6000,13638,7638,"['SEG-OS8176-BRUVIE-2023-04-30-1915', 'SEG-OS487-VIEPMO-2023-05-01-0655']",2023-04-30,2023-05-01
2023-04-03,BRU,PMO,46200,1,33300,9,7500,15938,8438,"['SEG-OS356-BRUVIE-2023-04-30-2000', 'SEG-OS487-VIEPMO-2023-05-01-0655']",2023-04-30,2023-05-01
2023-04-03,BRU,PMO,51600,1,40200,9,7500,16167,8667,"['SEG-LH2291-BRUMUC-2023-04-30-2045', 'SEG-LH1914-MUCPMO-2023-05-01-0910']",2023-04-30,2023-05-01
2023-04-03,BRU,PMO,26700,1,15000,9,20400,35467,15067,"['SEG-LH1007-BRUFRA-2023-04-30-0930', 'SEG-LH338-FRAPMO-2023-04-30-1440']",2023-04-30,2023-04-30
2023-04-03,BRU,PMO,15000,1,3300,6,25200,39558,14358,"['SEG-LH5629-BRUMUC-2023-04-30-0655', 'SEG-LH1914-MUCPMO-2023-04-30-0910']",2023-04-30,2023-04-30
2023-04-03,BRU,PMO,20100,1,8400,2,25200,40267,15067,"['SEG-LH1009-BRUFRA-2023-04-30-1120', 'SEG-LH338-FRAPMO-2023-04-30-1440']",2023-04-30,2023-04-30
2023-04-03,BRU,PMO,34200,2,3900,9,20400,41752,21352,"['SEG-LX791-BRUGVA-2023-04-30-0915', 'SEG-LX2811-GVAZRH-2023-04-30-1450', 'SEG-LX1744-ZRHPMO-2023-04-30-1650']",2023-04-30,2023-04-30
2023-04-03,BRU,PMO,32700,1,21000,1,30600,44921,14321,"['SEG-LX787-BRUZRH-2023-04-30-0940', 'SEG-LX1744-ZRHPMO-2023-04-30-1650']",2023-04-30,2023-04-30
2023-04-03,BRU,PMO,44700,2,17700,1,30600,51952,21352,"['SEG-LX4551-BRUGVA-2023-04-30-0620', 'SEG-LX2809-GVAZRH-2023-04-30-1100', 'SEG-LX1744-ZRHPMO-2023-04-30-1650']",2023-04-30,2023-04-30
2023-04-03,BRU,PMO,15300,1,3600,9,44100,58421,14321,"['SEG-LX787-BRUZRH-2023-04-30-0940', 'SEG-LX1742-ZRHPMO-2023-04-30-1200']",2023-04-30,2023-04-30
2023-04-03,BRU,PMO,27300,2,3900,6,44100,65452,21352,"['SEG-LX4551-BRUGVA-2023-04-30-0620', 'SEG-LX2807-GVAZRH-2023-04-30-1000', 'SEG-LX1742-ZRHPMO-2023-04-30-1200']",2023-04-30,2023-04-30
2023-04-03,BRU,PMO,48900,1,35700,9,6000,13638,7638,"['SEG-OS8176-BRUVIE-2023-04-30-1915', 'SEG-OS487-VIEPMO-2023-05-01-0655']",2023-04-30,2023-05-01
